customer_id,tops_and_tees,jeans,intimates,swim,sweaters,sleep,accessories,outerwear,shorts,fasion_hoodies,other,avg_sales,total_sales,total_orders,recency,customer_age,customer_gender,state,city,country
40657,1,0,0,0,0,0,0,0,0,0,0,39.9900016784668,39.9900016784668,1,530,41,F,Acre,null,Brasil
75990,0,0,0,0,0,1,0,0,0,0,0,19.989999771118164,19.989999771118164,1,842,35,F,Acre,Rio Branco,Brasil
37485,0,0,0,0,0,1,0,0,0,0,0,24.969999313354489,24.969999313354489,1,138,66,F,Acre,null,Brasil
4628,0,0,0,0,0,1,0,0,0,0,0,195.30000305175781,195.30000305175781,1,1665,61,M,Acre,null,Brasil
5671,0,0,0,0,0,0,0,0,0,0,1,59.9900016784668,59.9900016784668,1,162,21,M,Acre,Sena Madureira,Brasil
77936,0,0,0,0,0,0,0,0,0,0,1,27.989999771118164,27.989999771118164,1,305,49,F,Acre,Sena Madureira,Brasil
4816,0,0,0,0,0,0,1,0,0,0,0,72.370002746582031,72.370002746582031,1,1030,60,F,Acre,Sena Madureira,Brasil
76828,0,0,0,0,1,0,0,0,0,0,0,135,135,1,456,29,M,Acre,Rio Branco,Brasil
99950,0,0,0,0,1,0,0,0,0,0,0,74.5,74.5,1,1602,33,M,Iowa,Cedar Rapids,United States
65989,1,0,0,0,0,0,0,0,0,0,0,52.400001525878906,52.400001525878906,1,1503,38,M,Iowa,Council Bluffs,United States
18566,0,0,0,1,0,0,0,0,0,0,0,45.020000457763672,45.020000457763672,1,161,13,M,Iowa,Burlington,United States
17761,0,0,0,0,0,0,0,0,0,0,1,49.950000762939446,49.950000762939446,1,2,14,M,Iowa,Marshalltown,United States
62908,0,0,0,0,0,1,0,0,0,0,0,15.989999771118164,15.989999771118164,1,113,55,F,Iowa,Dubuque,United States
35223,0,0,0,0,0,0,0,0,0,0,1,95.8199996948242,95.8199996948242,1,1164,23,F,Iowa,Iowa City,United States
39359,0,0,0,0,0,0,0,1,0,0,0,69.989997863769531,69.989997863769531,1,2,12,M,Iowa,Ottumwa,United States
31598,0,0,0,0,1,0,0,0,0,0,0,46.599998474121087,46.599998474121087,1,4,56,F,Iowa,Des Moines,United States
1972,0,0,0,0,1,0,0,0,0,0,0,45.979999542236328,45.979999542236328,1,510,20,F,Iowa,Ottumwa,United States
86372,0,0,0,1,0,0,0,0,0,0,0,40.470001220703125,40.470001220703125,1,49,24,M,Iowa,Urbandale,United States
19304,1,0,0,0,0,0,0,0,0,0,0,24,24,1,418,34,M,Iowa,Ankeny,United States
8023,0,0,0,0,0,0,0,0,0,0,1,25,25,1,676,20,M,Iowa,Bettendorf,United States
15409,0,0,1,0,0,0,0,0,0,0,0,35,35,1,777,62,F,Iowa,Sioux City,United States
81629,0,0,0,0,0,0,0,0,0,0,1,6,6,1,469,70,F,Iowa,Cedar Rapids,United States
61502,0,0,0,1,0,0,0,0,0,0,0,144,144,1,1054,54,F,Iowa,Iowa City,United States
36033,0,0,0,0,0,0,0,0,0,0,1,18,18,1,84,17,M,Iowa,Muscatine,United States
66655,0,0,0,0,0,0,0,0,0,0,1,19.989999771118164,19.989999771118164,1,140,40,M,Iowa,Mason City,United States
63721,0,0,0,0,0,0,0,0,0,0,1,29.989999771118164,29.989999771118164,1,454,39,M,Iowa,Cedar Rapids,United States
97850,0,0,1,0,0,0,0,0,0,0,0,32,32,1,235,36,F,Iowa,Ames,United States
90459,0,0,0,0,0,0,0,0,0,0,1,209.99000549316409,209.99000549316409,1,807,60,M,Iowa,West Des Moines,United States
67611,0,0,0,0,0,0,0,0,0,0,1,25,25,1,11,42,M,Iowa,Des Moines,United States
9346,0,0,0,0,0,0,0,0,0,0,1,25,25,1,4,23,M,Iowa,Iowa City,United States
6232,0,0,0,0,0,0,0,0,0,0,1,11.130000114440918,11.130000114440918,1,4,35,F,Iowa,Ames,United States
71457,0,0,0,0,0,0,0,0,0,1,0,41.650001525878906,41.650001525878906,1,61,12,M,Nara,Ikoma City,Japan
18175,0,0,0,0,0,0,0,0,0,1,0,42,42,1,1099,19,M,Ohio,Athens,United States
68894,0,0,0,0,0,0,0,0,0,0,1,84.279998779296861,84.279998779296861,1,1441,12,F,Ohio,Mount Vernon,United States
79251,1,0,0,0,0,0,0,0,0,0,0,99.970001220703125,99.970001220703125,1,445,25,M,Ohio,Hamilton,United States
15978,0,0,0,0,0,0,0,0,0,0,1,15.520000457763672,15.520000457763672,1,5,33,F,Ohio,North Olmsted,United States
16232,0,0,1,0,0,0,0,0,0,0,0,34,34,1,703,14,F,Ohio,Cleveland,United States
57480,0,0,0,0,0,0,0,0,1,0,0,25,25,1,905,20,M,Ohio,Toledo,United States
56439,0,0,0,0,1,0,0,0,0,0,0,99,99,1,846,62,M,Ohio,Cleveland,United States
20617,0,0,0,0,0,0,0,0,0,0,1,169.99000549316406,169.99000549316406,1,826,70,M,Ohio,Columbus,United States
96221,0,0,0,0,0,0,0,0,0,1,0,45.950000762939446,45.950000762939446,1,4,33,M,Ohio,Painesville,United States
43575,0,0,0,0,0,0,1,0,0,0,0,185.91000366210935,185.91000366210935,1,1040,66,M,Ohio,Chillicothe,United States
29008,0,0,0,0,0,0,0,0,0,0,1,69,69,1,501,47,F,Ohio,Cleveland,United States
16393,0,0,0,0,0,0,0,0,0,0,1,24.5,24.5,1,572,70,M,Ohio,Columbus,United States
91798,0,0,0,0,1,0,0,0,0,0,0,51.950000762939446,51.950000762939446,1,663,45,M,Ohio,Sandusky,United States
11791,0,0,0,0,0,0,1,0,0,0,0,13.199999809265137,13.199999809265137,1,1690,43,M,Ohio,Columbus,United States
35437,1,0,0,0,0,0,0,0,0,0,0,115,115,1,819,27,M,Ohio,Dayton,United States
27121,0,0,0,0,0,0,0,0,0,0,1,189.99000549316409,189.99000549316409,1,5,26,M,Ohio,Lancaster,United States
13356,0,0,0,0,0,0,0,0,0,0,1,9.9499998092651367,9.9499998092651367,1,232,55,F,Ohio,Stow,United States
76650,0,0,0,0,1,0,0,0,0,0,0,125,125,1,442,53,M,Ohio,Kirtland,United States
65261,0,0,0,0,1,0,0,0,0,0,0,54.9900016784668,54.9900016784668,1,103,37,M,Ohio,Columbus,United States
36291,0,0,0,0,0,1,0,0,0,0,0,24.989999771118164,24.989999771118164,1,104,56,M,Ohio,Marysville,United States
56370,0,0,0,0,0,0,0,0,0,0,1,98,98,1,83,29,F,Ohio,Dublin,United States
72016,0,0,0,0,0,0,1,0,0,0,0,15.989999771118164,15.989999771118164,1,805,58,M,Ohio,Lebanon,United States
83449,0,1,0,0,0,0,0,0,0,0,0,350,350,1,303,54,M,Ohio,London,United States
63868,0,0,0,0,0,0,0,0,0,0,1,32.950000762939453,32.950000762939453,1,300,57,M,Ohio,North Royalton,United States
15770,0,1,0,0,0,0,0,0,0,0,0,198,198,1,2,30,F,Ohio,North Olmsted,United States
12622,0,0,0,0,0,0,0,1,0,0,0,119,119,1,1093,20,M,Ohio,Fairfield,United States
24152,0,0,0,0,0,0,0,0,0,0,1,6.6500000953674316,6.6500000953674316,1,194,70,F,Ohio,Cleveland,United States
18546,0,0,0,0,0,0,0,0,0,0,1,58.840000152587891,58.840000152587891,1,5,15,F,Ohio,Xenia,United States
37419,0,1,0,0,0,0,0,0,0,0,0,158,158,1,328,43,F,Ohio,Cincinnati,United States
53911,0,0,0,0,0,0,0,0,1,0,0,34,34,1,795,38,F,Ohio,Toledo,United States
90533,0,0,0,0,0,1,0,0,0,0,0,85,85,1,976,29,F,Ohio,Medina,United States
71237,0,0,0,0,1,0,0,0,0,0,0,58.840000152587891,58.840000152587891,1,45,15,M,Ohio,Athens,United States
15971,0,0,0,1,0,0,0,0,0,0,0,31,31,1,91,49,F,Ohio,Middleburg Heights,United States
97479,0,0,0,0,0,1,0,0,0,0,0,192.5,192.5,1,614,22,M,Ohio,Columbus,United States
82871,0,0,0,0,0,0,0,1,0,0,0,169.99000549316406,169.99000549316406,1,293,39,F,Ohio,Batavia,United States
30796,0,0,0,0,0,0,0,0,1,0,0,7.9000000953674308,7.9000000953674308,1,362,27,F,Ohio,Loveland,United States
51530,0,0,0,1,0,0,0,0,0,0,0,28.5,28.5,1,3,15,M,Ohio,Huber Heights,United States
76308,0,0,0,0,0,0,0,0,0,1,0,24.989999771118164,24.989999771118164,1,270,20,F,Ohio,Green,United States
97117,0,0,0,1,0,0,0,0,0,0,0,26.510000228881839,26.510000228881839,1,1687,57,M,Ohio,Cincinnati,United States
92394,0,0,0,0,0,0,0,0,0,0,1,30,30,1,420,30,F,Ohio,Lakewood,United States
42707,0,0,0,0,0,0,0,0,0,0,1,25,25,1,19,65,M,Ohio,Brunswick,United States
53086,0,0,0,0,0,1,0,0,0,0,0,89.989997863769531,89.989997863769531,1,532,55,F,Ohio,Norton,United States
33971,0,1,0,0,0,0,0,0,0,0,0,72.949996948242173,72.949996948242173,1,50,42,M,Ohio,Marysville,United States
17708,0,0,1,0,0,0,0,0,0,0,0,19.989999771118164,19.989999771118164,1,46,55,F,Ohio,Columbus,United States
56292,0,0,0,0,0,0,1,0,0,0,0,19.989999771118164,19.989999771118164,1,524,37,M,Ohio,Landen,United States
90544,0,0,0,0,0,0,0,0,0,0,1,36,36,1,158,13,F,Ohio,Lancaster,United States
29246,0,0,0,0,0,1,0,0,0,0,0,149.94999694824219,149.94999694824219,1,424,18,M,Ohio,Hamilton,United States
30703,0,0,0,0,0,0,0,0,1,0,0,25,25,1,1165,58,F,Ohio,Beachwood,United States
51641,0,0,0,0,0,0,0,0,0,0,1,21.950000762939453,21.950000762939453,1,26,23,F,Ohio,Columbus,United States
23551,0,0,1,0,0,0,0,0,0,0,0,42,42,1,735,45,F,Ohio,Parma,United States
39571,0,0,0,0,0,0,0,0,1,0,0,9.1099996566772461,9.1099996566772461,1,217,58,F,Ohio,Marion,United States
38380,0,0,0,0,0,0,0,0,0,1,0,27.989999771118164,27.989999771118164,1,1483,24,M,Ohio,Middleburg Heights,United States
90577,0,0,0,0,0,0,0,1,0,0,0,89.989997863769531,89.989997863769531,1,416,45,M,Ohio,Mansfield,United States
71263,0,0,0,0,0,0,0,0,0,0,1,15.989999771118164,15.989999771118164,1,374,43,M,Ohio,Boardman,United States
56349,0,0,0,0,0,0,0,0,0,0,1,11.989999771118164,11.989999771118164,1,1066,36,M,Ohio,Wooster,United States
99486,0,0,0,0,0,0,0,0,0,0,1,138,138,1,561,53,F,Ohio,Toledo,United States
56502,0,0,0,0,0,0,0,0,0,0,1,116.63999938964844,116.63999938964844,1,1649,68,F,Ohio,Delaware,United States
77724,0,0,0,0,0,0,0,0,0,0,1,9.9899997711181641,9.9899997711181641,1,204,47,F,Ohio,Columbus,United States
95662,0,0,1,0,0,0,0,0,0,0,0,8.9799995422363281,8.9799995422363281,1,1035,50,F,Ohio,Centerville,United States
82522,0,0,0,0,0,1,0,0,0,0,0,34.5,34.5,1,104,12,F,Ohio,Wooster,United States
92572,1,0,0,0,0,0,0,0,0,0,0,64.5,64.5,1,25,15,M,Ohio,Huber Heights,United States
59393,0,0,0,0,0,0,0,0,0,0,1,24,24,1,128,39,M,Ohio,Columbus,United States
37113,0,0,0,0,0,0,0,0,0,0,1,56,56,1,327,34,F,Ohio,Columbus,United States
19410,0,1,0,0,0,0,0,0,0,0,0,34.900001525878906,34.900001525878906,1,279,55,F,Ohio,Mansfield,United States
38722,0,0,0,0,0,0,0,0,1,0,0,12.859999656677246,12.859999656677246,1,184,18,F,Ohio,Columbus,United States
3628,0,0,0,0,0,0,0,0,1,0,0,52,52,1,65,70,M,Ohio,Massillon,United States
